group	n_species	pct_box_le2mm	pct_box_le3mm	pct_null_le3mm	enrichment
Mammalia	7.0	0.02785840281465492	1.2042862415827142	0.7442719745105176	1.6180728051391864
Invertebrates	101.0	0.015238694648788582	0.2543060468693986	0.1981195583026342	1.283598898807041
Viridiplantae	49.0	0.002219000562146809	0.17811177845498388	0.22312050652386164	0.7982761478534727
other Chordata	18.0	0.0011502670536676265	0.07425612868676566	0.42802715141476455	0.17348462227530606
