species	n	le2	le3	pct_le3	pct_le2
Rhinolophus (bat)	61730	422	16495	26.721205248663534	0.6836222258221286
Cervus (deer)	224055	0	1696	0.7569569971658745	0.0
Canis (dog)	22116	15	308	1.3926568999819136	0.06782419967444384
Elephas	32556	0	199	0.611254453864111	0.0
Meles (badger)	87864	0	100	0.11381225530365109	0.0
Diceros (rhino)	335103	0	93	0.027752661122102756	0.0
Lemur	805223	0	0	0.0	0.0
