species	taxa1	n	canonical	canonical_null	broad	broad_null	degenerate	degenerate_null	pwm	pwm_null	lines_positive
iilimauri	Trichoptera	2000	0	0	0	1	0	1	0	0	0
iilimluna	Trichoptera	2000	0	0	0	0	1	0	0	0	0
iilimmarm	Trichoptera	2000	0	0	1	1	2	2	0	0	0
iilimrhom	Trichoptera	2000	0	0	0	2	3	3	0	0	0
ilpienapi	Lepidoptera	2000	0	0	0	1	0	5	0	1	0
inchrcarn	Neuroptera	2000	0	0	0	0	0	0	0	0	0
ipisogram	Plecoptera	2000	0	0	0	3	0	8	0	0	0
ipnemdubi	Plecoptera	2000	0	0	1	17	15	146	0	0	0
iuloevari	Psocodea	2000	0	0	3	4	4	10	0	0	0
iupsogibb	Psocodea	2000	0	0	0	0	0	0	0	0	0
iyabicand	Hymenoptera	2000	0	0	0	1	0	3	0	0	0
iyarmarma	NA	2000	0	0	0	2	0	6	0	0	0
iyathrosa	Hymenoptera	2000	0	0	0	0	0	1	0	0	0
iybomhypn	Hymenoptera	2000	0	0	0	0	0	0	0	0	0
iycoeconi	Hymenoptera	2000	0	0	0	11	1	70	0	1	0
iyectcont	Hymenoptera	2000	0	0	0	0	0	5	0	0	0
iylasvill	Hymenoptera	2000	0	0	0	2	1	13	0	0	0
iymacalbo	Hymenoptera	2000	0	0	0	1	1	2	0	0	0
iymaceuro	Hymenoptera	2000	0	0	0	1	0	2	0	0	0
iymimdahl	Hymenoptera	2000	0	0	0	7	0	22	0	0	0
iynomfabr	Hymenoptera	2000	0	0	0	0	0	3	0	0	0
iynyspin	NA	2000	0	0	0	0	0	2	0	0	0
iyophlute	Hymenoptera	2000	0	0	0	2	0	7	0	0	0
iypemlugu	Hymenoptera	2000	0	0	1	9	1	23	0	2	0
iypripert	Hymenoptera	2000	0	0	0	1	0	3	0	0	0
iystephae	Hymenoptera	2000	0	0	1	1	1	2	0	0	0
iytipfemo	Hymenoptera	2000	0	0	0	1	0	2	0	0	0
iyvulbima	Hymenoptera	2000	0	0	0	0	0	2	0	0	0
jadialine	Cnidaria	2000	0	0	0	0	0	0	0	0	0
jahalocto	NA	2000	0	0	0	0	0	0	0	0	0
jamemvect	NA	2000	0	0	1	2	2	7	0	0	0
jaricflor	Cnidaria	2000	0	0	0	3	0	9	0	0	0
kaaplturb	Tunicata	2000	0	0	0	0	0	1	0	0	0
laaliplan	Monocots	2000	0	0	0	0	0	7	0	0	0
laapodist	Monocots	2000	0	0	0	2	0	7	0	0	0
lapotnata	Monocots	2000	0	0	0	2	0	11	0	0	0
lpcardepa	Monocots	2000	0	0	0	0	0	0	0	0	0
lpcypfusc	Monocots	2000	0	0	0	2	0	5	0	0	0
lpelequin	Monocots	2000	0	0	0	0	0	0	0	0	0
lperiangu	Monocots	2000	0	0	0	0	0	0	0	0	0
lpjunbufo	Monocots	2000	0	0	0	0	0	0	0	0	0
lpjuneffu	Monocots	2000	0	0	0	0	0	0	0	0	0
lpleeoryz	Monocots	2000	0	0	0	2	0	4	0	1	0
lpluzpall	Monocots	2000	0	0	0	0	0	2	0	0	0
lpluzsylv	Monocots	2000	0	0	0	0	0	1	0	0	0
lpphlprat	Monocots	2000	0	0	0	0	0	1	0	0	0
lpscisylv	Monocots	2000	0	0	0	0	0	0	0	0	0
lsirifoet	Monocots	2000	0	0	0	0	0	0	0	0	0
mcanlor	Mammalia	2000	0	0	1	12	1	45	0	0	0
mcerela	Mammalia	2000	0	0	1	15	3	60	0	0	0
mdicbic	Mammalia	2000	0	0	0	0	0	4	0	0	0
mlemcat	Mammalia	2000	0	0	0	0	0	1	0	0	0
mmelmel	Mammalia	2000	0	0	0	1	0	3	0	0	0
morcroc	NA	2000	0	0	0	3	0	20	0	0	0
ocsyccili	Porifera	2000	0	0	0	2	0	15	0	0	0
qeallfusc	Arthropoda	2000	0	0	0	2	0	4	0	0	0
qelepcurv	Arthropoda	2000	0	0	0	7	0	22	0	0	0
qeorcflav	Arthropoda	2000	0	0	1	0	1	3	0	0	0
rviplat	Reptilia	2000	0	0	0	1	2	8	0	0	0
tnlinlong	Nemertea	2000	0	0	0	1	0	5	0	0	0
tzbugstol	Bryozoa	2000	0	0	0	1	0	1	0	0	0
tzmemmemb	Bryozoa	2000	0	0	3	2	4	4	0	0	0
wpalivire	Annelida	2000	0	0	0	3	1	9	0	0	0
wplepclav	Annelida	2000	0	0	0	5	1	12	0	1	0
xblimfort	Mollusca	2000	0	0	0	0	0	0	0	0	0
xggibmagu	Mollusca	2000	0	0	0	2	0	5	0	0	0
