Clade	Node	Taxon_A	Taxon_B	Constraint_min_Mya	Constraint_max_Mya	Calibrated_age_Mya	TimeTree_median_Mya	TimeTree_adjusted_Mya	TimeTree_range_low	TimeTree_range_high	Source
Root	Eukaryota root	Eimeria tenella	Taurulus bubalis	1085	1671	1446.85	1530	1598.44	1085	1671	TimeTree
Opisthokonta	Opisthokonta	Membranipora membranacea	Agaricus bisporus	985	1392	1384.84	1274.57	1274.57	985	1392	TimeTree
Metazoa	Falco	Falco peregrinus	Falco cherrug	1.66	2.78	1.78	2.14	2.13	1.66	2.78	TimeTree
Metazoa	Thunnus	Thunnus albacares	Thunnus maccoyii	3.41	4.29	3.52	3.85	3.71	3.41	4.29	TimeTree
Metazoa	Patella	Patella vulgata	Patella pellucida	7.2	10.8	8.08	9		0	0	TimeTree
Metazoa	Tridacna	Tridacna crocea	Tridacna gigas	17.05	147.15	119.13	82.1	51.6	17.05	147.15	TimeTree
Metazoa	Polyneoptera	Leuctra nigra	Ectobius pallidus	25	370.6	191.8	270.35	308.09	25	370.6	TimeTree
Metazoa	Lagopus/Gallus	Lagopus muta	Gallus gallus	27.91	42.4	32.77	32.78	35.84	27.91	42.4	TimeTree
Metazoa	Taeniopygia/Corvus	Taeniopygia guttata	Corvus hawaiiensis	30.4	45.6	42.5	38	16.04	0	38	TimeTree
Metazoa	Leistus/Pterostichus	Leistus spinibarbis	Pterostichus madidus	36.56	54.85	36.56	45.71	101.67	0	0	TimeTree
Metazoa	Phorcus/Steromphala	Phorcus lineatus	Steromphala cineraria	60.79	91.18	66.72	75.99	46.72	0	0	TimeTree
Metazoa	Porphyrio/Lagopus	Porphyrio hochstetteri	Lagopus muta	86.5	101.8	97.25	90.84		86.5	101.8	TimeTree
Metazoa	Apidae	Bombus hypnorum	Nomada fabriciana	98.45	112.01	103.53	108.01	108.01	98.45	112.01	TimeTree
Metazoa	Otophysi	Danio rerio	Pangasianodon hypophthalmus	131.97	169.97	153.65	142.11		131.97	169.97	TimeTree
Metazoa	Avemetatarsalia/Ornithodira node	Micropterix aruncella	Atherix ibis	151.94	344.7	277.13	286.14	299.39	151.94	344.7	TimeTree
Metazoa	Amphiesmenoptera	Pieris napi	Limnephilus lunatus	172.28	302.41	262.24	246.4	246.4	172.28	302.41	TimeTree
Metazoa	Paraneoptera	Icerya purchasi	Mesopsocus fuscifrons	172.58	416.6	236.78	353.08		172.58	416.6	TimeTree
Metazoa	Coleoptera	Chrysolina oricalcia	Ophonus ardosiacus	189.63	307.19	247.02	279.58	282.37	189.63	307.19	TimeTree
Metazoa	Aculeata/Tipuloidea node	Abia candens	Tiphia femorata	223.72	303.97	259.14	239.53	264.82	223.72	303.97	TimeTree
Metazoa	Sauria	Lagopus muta	Vipera latastei	274.9	286.76	276.95	279.83		274.9	286.76	TimeTree
Metazoa	Endopterygota	Anoplius nigerrimus	Leistus spinibarbis	310.7	389.69	347.02	344		310.7	389.69	TimeTree
Metazoa	Amniota	Diceros bicornis	Lagopus muta	316	322.37	321.08	318.95		316	322.37	TimeTree
Metazoa	Palaeoptera	Siphlonurus alternatus	Ischnura elegans	325.78	430.63	341.06	365.53		325.78	430.63	TimeTree
Metazoa	Actinopteri	Acipenser ruthenus	Thunnus maccoyii	333.37	372	358	349.94		333.37	372	TimeTree
Metazoa	Neoptera	Leuctra nigra	Nephrotoma flavescens	346.52	391.78	370.21	383.15		346.52	391.78	TimeTree
Metazoa	Pterygota	Nephrotoma flavescens	Ischnura elegans	377.37	441.6	418.72	400.98		377.37	441.6	TimeTree
Metazoa	Gastropoda	Steromphala cineraria	Patella pellucida	379.74	500	486.01	421.6	476.34	379.74	500	TimeTree
Metazoa	Euteleostomi	Acipenser ruthenus	Falco cherrug	423.25	440	433.99	429		423.25	440	TimeTree
Metazoa	Hexapoda	Nephrotoma flavescens	Orchesella flavescens	425.44	478.09	464.65	459.04	459.04	425.44	478.09	TimeTree
Metazoa	Arthropoda	Nephrotoma flavescens	Meta bourneti	536.61	600	567.18	547.56	563.31	536.61	600	TimeTree
Metazoa	Protostomia	Membranipora membranacea	Nephrotoma flavescens	543	670.09	594.2	610	691.52	543	670.09	TimeTree
Metazoa	Bilateria	Marthasterias glacialis	Nephrotoma flavescens	627	830	629.55	686.16	707.6	627	830	TimeTree
Metazoa	Metazoa	Nephrotoma flavescens	Sycon ciliatum	701.85	1020	1018.01	758.11		701.85	1020	TimeTree
Viridiplantae	Arabidopsis	Arabidopsis thaliana	Cardamine hirsuta	5.94	29.23	19.55	17.1	18.39	5.94	29.23	TimeTree
Viridiplantae	Geum	Geum rivale	Geum urbanum	10.34	15.52	10.41	12.93		0	0	TimeTree
Viridiplantae	Potamogetonaceae/Droseraceae	Rosa canina	Potentilla anserina	21.12	57.76	29.32	27.15	39.51	21.12	57.76	TimeTree
Viridiplantae	Hologalegina	Trifolium fragiferum	Astragalus glycyphyllos	27.78	44.25	37.4	35.18	34.24	27.78	44.25	TimeTree
Viridiplantae	Cyperaceae clade	Schoenoplectus triqueter	Carex depauperata	29.92	59.61	44.11	50.68		29.92	59.61	TimeTree
Viridiplantae	Asteraceae node	Tanacetum vulgare	Arctium minus	36.62	45.14	44.26	39.06	42.39	36.62	45.14	TimeTree
Viridiplantae	Poaceae/Asteraceae node	Phragmites australis	Hierochloe odorata	41.44	51.9	48.67	49.13	59.13	41.44	51.9	TimeTree
Viridiplantae	Juncaceae	Luzula sylvatica	Juncus squarrosus	44.34	69.59	58.31	54.59	65.65	44.34	69.59	TimeTree
Viridiplantae	Rhynchostegium/Thuidium (moss)	Rhynchostegium confertum	Thuidium tamariscinum	48.81	94.59	71.59	71.7	79.03	48.81	94.59	TimeTree
Viridiplantae	Rosales	Geum urbanum	Urtica urens	76	95.47	92.24	87.63		76	95.47	TimeTree
Viridiplantae	Caryophyllales	Polygonum aviculare	Arenaria serpyllifolia	81.32	97	88.93	86.13	106.27	81.32	97	TimeTree
Viridiplantae	Poales	Sparganium emersum	Juncus squarrosus	94.08	117	111.33	106	110.08	94.08	117	TimeTree
Viridiplantae	Pentapetalae	Geum urbanum	Polygonum aviculare	111.37	123.93	122.08	118.05	125.12	111.37	123.93	TimeTree
Viridiplantae	Alismatales/Poales node	Potamogeton natans	Juncus squarrosus	125.28	137.9	127.53	132.37	138.76	125.28	137.9	TimeTree
Viridiplantae	Fabales/Caryophyllales node	Trifolium fragiferum	Berberis vulgaris	126.01	132.41	127.04	129.33	142.17	126.01	132.41	TimeTree
Viridiplantae	Caryophyllales/Poales node	Polygonum aviculare	Juncus squarrosus	142.06	163.46	152.56	159.61	159.61	142.06	163.46	TimeTree
Viridiplantae	Moss node	Polytrichastrum sexangulare	Rhynchostegium confertum	181.26	354.85	215.75	213.87	230.39	181.26	354.85	TimeTree
Viridiplantae	Liverwort node	Herbertus hutchinsiae	Lunularia cruciata	304.84	437.86	308.54	374.22	376.38	304.84	437.86	TimeTree
Viridiplantae	Embryophyta	Herbertus hutchinsiae	Rosa canina	460	497.29	496.52	479.8	483.72	460	497.29	TimeTree
Viridiplantae	Chlorophyceae	Dunaliella primolecta	Marvania coccoides	662.02	1000	865.58	827.5		662.02	1000	TimeTree
Viridiplantae	Viridiplantae	Rosa canina	Pycnococcus provasolii	729	1105.66	1096.48	936.3	991.82	729	1105.66	TimeTree
Fungi	Panellus Mycena	Mycena galericulata	Panellus stipticus	2.12	13.69	13.48	7.91	4	2.12	13.69	TimeTree
Fungi	Agaricus Chlorophyllum	Chlorophyllum brunneum	Agaricus bisporus	46.38	73.27	53.87	59.82	59.03	46.38	73.27	TimeTree
Fungi	Clavariaceae	Ramariopsis corniculata	Clavaria fumosa	56.47	69.34	67.67	62.91	62.91	56.47	69.34	TimeTree
Fungi	Russula Hericium	Hericium erinaceus	Russula vesca	69.04	143.12	70.86	114.16	111.85	69.04	143.12	TimeTree
Fungi	Platismatia Cladonia	Cladonia squamosa	Platismatia glauca	93.88	146.36	130.17	139.04	124.68	93.88	146.36	TimeTree
Fungi	Sordariomyceta	Leotia lubrica	Cordyceps fumosorosea	239.73	320	279.87	293.52	320.41	239.73	320	TimeTree
Fungi	Saccharomyceta	Metschnikowia zobellii	Platismatia glauca	437.81	670.19	511.03	533.61	523.45	437.81	670.19	TimeTree
Fungi	Dikarya	Agaricus bisporus	Platismatia glauca	583.17	749	729.7	642.03		583.17	749	TimeTree
