label	clade	taxonA	taxonB	our_age	tt_median	tt_ci_low	tt_ci_high	tt_adjusted	status	source
Sordariomyceta	Fungi	Leotia lubrica	Cordyceps fumosorosea	279.87	293.5166	239.72557	320	320.40792	ok	TimeTree pairwise API
Platismatia_Cladonia	Fungi	Cladonia squamosa	Platismatia glauca	130.17	139.0437	93.88098	146.36288	124.68304	ok	TimeTree pairwise API
Clavariaceae	Fungi	Ramariopsis corniculata	Clavaria fumosa	67.67	62.906845	56.47129	69.3424	62.90684	ok	TimeTree pairwise API
Russula_Hericium	Fungi	Hericium erinaceus	Russula vesca	70.86	114.1563945	69.04064	143.1183	111.84995	ok	TimeTree pairwise API
Agaricus_Chlorophyllum	Fungi	Chlorophyllum brunneum	Agaricus bisporus	53.87	59.8202	46.375	73.2654	59.0299	ok	TimeTree pairwise API
Panellus_Mycena	Fungi	Mycena galericulata	Panellus stipticus	13.48	7.90714	2.12428	13.69	4.0046	ok	TimeTree pairwise API
over0	Metazoa	Falco peregrinus	Falco cherrug	1.78	2.1394	1.66	2.77654	2.1297	ok	TimeTree pairwise API
over1	Metazoa	Patella vulgata	Patella pellucida	8.08	9	0	0	NA	ok	TimeTree pairwise API
over2	Metazoa	Thunnus albacares	Thunnus maccoyii	3.52	3.85288	3.41299	4.29277	3.71368	ok	TimeTree pairwise API
over3	Metazoa	Taeniopygia guttata	Corvus hawaiiensis	42.5	38	0	38	16.04062	ok	TimeTree pairwise API
over4	Metazoa	Lagopus muta	Gallus gallus	32.77	32.777995	27.9122	42.4	35.84266	ok	TimeTree pairwise API
over5	Viridiplantae	Rhynchostegium confertum	Thuidium tamariscinum	71.59	71.702555	48.81441	94.5907	79.03184	ok	TimeTree pairwise API
over6	Metazoa	Phorcus lineatus	Steromphala cineraria	66.72	75.9871	0	0	46.72245	ok	TimeTree pairwise API
over7	Metazoa	Porphyrio hochstetteri	Lagopus muta	97.25	90.83966	86.50225	101.8	NA	ok	TimeTree pairwise API
over8	Viridiplantae	Geum rivale	Geum urbanum	10.41	12.93	0	0	NA	ok	TimeTree pairwise API
over9	Metazoa	Leistus spinibarbis	Pterostichus madidus	36.56	45.70566	0	0	101.6741	ok	TimeTree pairwise API
Amphiesmen	Metazoa	Pieris napi	Limnephilus lunatus	262.24	246.402165	172.2845	302.41203	246.40217	ok	TimeTree pairwise API
