Clade	Node	Taxon_A	Taxon_B	Constraint_min_Mya	Constraint_max_Mya	Calibrated_age_Mya	TimeTree_median_Mya	TimeTree_adjusted_Mya	TimeTree_range_low	TimeTree_range_high	Source
Viridiplantae	Pentapetalae	Geum urbanum	Polygonum aviculare	111.4	123.9	123.9	118.05	125.12	111.37	123.93	TimeTree
Viridiplantae	Alismatales/Poales node	Potamogeton natans	Juncus squarrosus	125.3	137.9	137.9	132.37	138.76	125.28	137.9	TimeTree
Viridiplantae	Fabales/Caryophyllales node	Trifolium fragiferum	Berberis vulgaris	126	132.4	132.4	129.33	142.17	126.01	132.41	TimeTree
Viridiplantae	Caryophyllales/Poales node	Polygonum aviculare	Juncus squarrosus	142.1	163.5	163.5	159.61	159.61	142.06	163.46	TimeTree
Viridiplantae	Moss node	Polytrichastrum sexangulare	Rhynchostegium confertum	181.3	354.8	181.3	213.87	230.39	181.26	354.85	TimeTree
Viridiplantae	Liverwort node	Herbertus hutchinsiae	Lunularia cruciata	304.8	437.9	304.8	374.22	376.38	304.84	437.86	TimeTree
Viridiplantae	Embryophyta	Herbertus hutchinsiae	Rosa canina	460	497.3	460	479.8	483.72	460	497.29	TimeTree
Viridiplantae	Chlorophyceae	Dunaliella primolecta	Marvania coccoides	662	1000	662	827.5		662.02	1000	TimeTree
Viridiplantae	Viridiplantae	Rosa canina	Pycnococcus provasolii	729	1105.7	871.8	936.3	991.82	729	1105.66	TimeTree
Fungi	Panellus Mycena	Mycena galericulata	Panellus stipticus	2.12	13.69	13.7	7.91	4	2.12	13.69	TimeTree
Fungi	Agaricus Chlorophyllum	Chlorophyllum brunneum	Agaricus bisporus	46.4	73.3	73.3	59.82	59.03	46.38	73.27	TimeTree
Fungi	Clavariaceae	Ramariopsis corniculata	Clavaria fumosa	56.5	69.3	69.3	62.91	62.91	56.47	69.34	TimeTree
Fungi	Russula Hericium	Hericium erinaceus	Russula vesca	69	143.1	143.1	114.16	111.85	69.04	143.12	TimeTree
Fungi	Platismatia Cladonia	Cladonia squamosa	Platismatia glauca	93.9	146.4	104.5	139.04	124.68	93.88	146.36	TimeTree
Fungi	Sordariomyceta	Leotia lubrica	Cordyceps fumosorosea	239.7	320	272.9	293.52	320.41	239.73	320	TimeTree
Fungi	Saccharomyceta	Metschnikowia zobellii	Platismatia glauca	437.8	670.2	609.9	533.61	523.45	437.81	670.19	TimeTree
Fungi	Dikarya	Agaricus bisporus	Platismatia glauca	583.2	749	728.4	642.03		583.17	749	TimeTree
