source	clade	init_rate	floor
CENP-A protein	Vertebrates	0.07158595824726445	7.09977890080995e-10
CENP-A protein	Invertebrates	0.12980938927876576	44.88935572285261
CENP-A protein	Viridiplantae	1.3850765084081236	62.763441524523245
satellite DNA	Vertebrates	5.60432653334844	28.70459259654126
satellite DNA	Invertebrates	1.1635152307015395	31.136517971957517
satellite DNA	Viridiplantae	12.15895629198584	31.95905805072592
