species_code	genus	species	order	broad_clade	centromere_type	cenpa_presence	cenpa_copies	copy_number_call
ilYpsScab1.1	Ypsolopha	scabrella	Lepidoptera	Arthropods	Holocentric	Absent	0	absent_from_curated_tree
ilZeuPyri1.1	Zeuzera	pyrina	Lepidoptera	Arthropods	Holocentric	Absent	0	absent_from_curated_tree
inChrCarn1.1	Chrysoperla	carnea	Neuroptera	Arthropods	Satellite	Absent	0	absent_from_curated_tree
ioIscEleg1.1	Ischnura	elegans	Odonata	Arthropods	Holocentric	Absent	0	absent_from_curated_tree
ioPlaPenn1.1	Platycnemis	pennipes	Odonata	Arthropods	Holocentric	Absent	0	absent_from_curated_tree
ipIsoGram3.1	Isoperla	grammatica	Plecoptera	Arthropods	Satellite	Present	0	absent_from_curated_tree
ipLeuNigr2.1	Leuctra	nigra	Plecoptera	Arthropods	Unknown	Present	1	single_copy
ipNemDubi1.1	Nemoura	dubitans	Plecoptera	Arthropods	Satellite	Absent	0	absent_from_curated_tree
ipNemPict2.1	Nemurella	pictetii	Plecoptera	Arthropods	Unknown	Present	1	single_copy
iiGlyPell1.1	Glyphotaelius	pellucidus	Trichoptera	Arthropods	Holocentric	Absent	0	absent_from_curated_tree
iiLimLuna2.1	Limnephilus	lunatus	Trichoptera	Arthropods	Holocentric	Present	0	absent_from_curated_tree
iiLimMarm1.1	Limnephilus	marmoratus	Trichoptera	Arthropods	Holocentric	Absent	0	absent_from_curated_tree
iiLimRhom1.1	Limnephilus	rhombicus	Trichoptera	Arthropods	Holocentric	Absent	0	absent_from_curated_tree
ibEctPall1.hap1.1	Ectobius	pallidus	Blattodea	Blattodea	Satellite		1	single_copy
tzBugStol2.1	Bugulina	stolonifera	Bryozoa	Bryozoa	Satellite	Present	1	single_copy
tzCryPall5.1	Cryptosula	pallasiana	Bryozoa	Bryozoa	Unknown	Present	2	low_copy
tzMemMemb1.1	Membranipora	membranacea	Bryozoa	Bryozoa	Satellite	Absent	0	absent_from_curated_tree
fAciRut3.2	Acipenser	ruthenus	Actinopterygii	Chordates	Satellite/transposon	Present	3	low_copy
fAloSap1.1	Alosa	sapidissima	Actinopterygii	Chordates	Satellite	Present	1	single_copy
fBarBab1.1	Barbus	barbus	Actinopterygii	Chordates	Satellite	Present	2	low_copy
fDanRer4.1	Danio	rerio	Actinopterygii	Chordates	Satellite	Present	1	single_copy
fPanHyp1.1	Pangasianodon	hypophthalmus	Actinopterygii	Chordates	Monocentric sequence unknown	Present	1	single_copy
fPhoGun1.2	Pholis	gunnellus	Actinopterygii	Chordates	Satellite	Present	1	single_copy
fTauBub2.1	Taurulus	bubalis	Actinopterygii	Chordates	Satellite	Present	1	single_copy
fTelBon1.1	Telmatherina	bonti	Actinopterygii	Chordates	Unknown	Present	1	single_copy
fThuAlb1.1	Thunnus	albacares	Actinopterygii	Chordates	Satellite	Present	1	single_copy
fThuMac1.1	Thunnus	maccoyii	Actinopterygii	Chordates	Satellite	Present	1	single_copy
fToxJac2.1	Toxotes	jaculatrix	Actinopterygii	Chordates	Satellite/transposon	Present	1	single_copy
fTraTra1.2	Trachurus	trachurus	Actinopterygii	Chordates	Satellite	Present	1	single_copy
bAccGen1.1	Accipiter	gentilis	Aves	Chordates	Satellite	Present	1	single_copy
bCorHaw1.1	Corvus	hawaiiensis	Aves	Chordates	Satellite	Present	1	single_copy
bFalBia1.1	Falco	biarmicus	Aves	Chordates	Satellite	Absent	0	absent_from_curated_tree
bFalChe1.1	Falco	cherrug	Aves	Chordates	Satellite	Absent	0	absent_from_curated_tree
bFalPer1.1	Falco	peregrinus	Aves	Chordates	Satellite	Absent	0	absent_from_curated_tree
bGalGal1.GRCg7b	Gallus	gallus	Aves	Chordates	Satellite		3	low_copy
bLagMut1.1	Lagopus	muta	Aves	Chordates	Satellite	Present	0	absent_from_curated_tree
bPorHoc1.1	Porphyrio	hochstetteri	Aves	Chordates	Satellite	Present	1	single_copy
bTaeGut1.4	Taeniopygia	guttata	Aves	Chordates	Unknown	Present	3	low_copy
mCanLor1.2	Canis	lupus	Mammalia	Chordates	Satellite	Absent	1	single_copy
mCerEla1.1	Cervus	elaphus	Mammalia	Chordates	Satellite	Absent	0	absent_from_curated_tree
mDicBic1.1	Diceros	bicornis	Mammalia	Chordates	Satellite	Absent	0	absent_from_curated_tree
mEleMax1.1	Elephas	maximus	Mammalia	Chordates	Satellite	Absent	0	absent_from_curated_tree
mLemCat1.1	Lemur	catta	Mammalia	Chordates	Satellite	Absent	1	single_copy
mMelMel3.2	Meles	meles	Mammalia	Chordates	Satellite	Absent	0	absent_from_curated_tree
mOrcOrc1.1	Orcinus	orca	Mammalia	Chordates	Satellite	Absent	0	absent_from_curated_tree
rVipLat1.1	Vipera	latastei	Reptilia	Chordates	Satellite	Present	1	single_copy
kaAplTurb1.1	Aplidium	turbinatum	Tunicata	Chordates	Satellite	Present	1	single_copy
jaDiaLine6.1	Diadumene	lineata	Cnidaria	Cnidaria	Satellite	Present	0	absent_from_curated_tree
jrHalOcto1.1	Haliclystus	octoradiatus	Cnidaria	Cnidaria	Satellite	Present	1	single_copy
