species_code	genus	species	order	broad_clade	centromere_type	cenpa_presence	cenpa_copies	copy_number_call
daTanVulg1.hap1.1	Tanacetum	vulgare	Dicots	Viridiplantae	Satellite		0	absent_from_curated_tree
dmThaMinu1.hap1.1	Thalictrum	minus	Dicots	Viridiplantae	Satellite		6	expanded
drTriFrag1.1	Trifolium	fragiferum	Dicots	Viridiplantae	Satellite	Present	1	single_copy
drUrtUren1.1	Urtica	urensi	Dicots	Viridiplantae	Transposon	Present	2	low_copy
laAliPlan1.1	Alisma	plantago-aquatica	Monocots	Viridiplantae	Satellite	Present	1	single_copy
laApoDist1.hap1.1	Aponogeton	distachyos	Monocots	Viridiplantae	Satellite		1	single_copy
lpBroSter1.1	Bromus	sterilis	Monocots	Viridiplantae	Transposon	Present	3	low_copy
lpCarDepa1.1	Carex	depauperata	Monocots	Viridiplantae	Holocentric	Present	1	single_copy
lpCypFusc1.hap1.1	Cyperus	fuscus	Monocots	Viridiplantae	Holocentric		1	single_copy
lpDigSang1.hap1.1	Digitaria	sanguinalis	Monocots	Viridiplantae	Satellite		4	expanded
lpEleQuin1.1	Eleocharis	quinqueflora	Monocots	Viridiplantae	Holocentric	Present	2	low_copy
lpEriAngu1.1	Eriophorum	angustifolium	Monocots	Viridiplantae	Holocentric	Present	1	single_copy
lpHieOdor1.hap1.1	Hierochloe	odorata	Monocots	Viridiplantae	Transposon		7	expanded
lpHorVulg1.hap1.1	Hordeum	vulgare	Monocots	Viridiplantae	Transposon		3	low_copy
lsIriFoet1.hap1.1	Iris	foetidissima	Monocots	Viridiplantae	Satellite		0	absent_from_curated_tree
lpJunBufo1.hap1.1	Juncus	bufonius	Monocots	Viridiplantae	Satellite		3	low_copy
lpJunEffu1.1	Juncus	effusus	Monocots	Viridiplantae	Satellite	Present	1	single_copy
lpJunSqua1.hap1.1	Juncus	squarrosus	Monocots	Viridiplantae	Satellite		1	single_copy
lpLeeOryz1.hap1.1	Leersia	oryzoides	Monocots	Viridiplantae	Satellite		3	low_copy
laLemMinu1.hap1.1	Lemna	minuta	Monocots	Viridiplantae	Unknown		1	single_copy
lpLuzPall1.1	Luzula	pallescens	Monocots	Viridiplantae	Holocentric	Present	5	expanded
lpLuzSylv1.1	Luzula	sylvatica	Monocots	Viridiplantae	Holocentric	Present	3	low_copy
ldNarOssi1.1	Narthecium	ossifragum	Monocots	Viridiplantae	Transposon	Present	1	single_copy
lpPhlPrat1.hap1.1	Phleum	pratense	Monocots	Viridiplantae	Satellite		4	expanded
lpPhrAust1.1	Phragmites	australis	Monocots	Viridiplantae	Transposon	Present	2	low_copy
lpPoaChai1.hap1.1	Poa	chaixii	Monocots	Viridiplantae	Transposon		4	expanded
lpPolViri1.hap1.1	Polypogon	viridis	Monocots	Viridiplantae	Transposon		12	expanded
laPotNata1.hap1.1	Potamogeton	natans	Monocots	Viridiplantae	Satellite		2	low_copy
lpSchLacu1	Schoenoplectus	lacustris	Monocots	Viridiplantae	Holocentric	Present	2	low_copy
lpSchTabe1.hap1.1	Schoenoplectus	tabernaemontani	Monocots	Viridiplantae	Holocentric		2	low_copy
lpSchTriq1.1	Schoenoplectus	triqueter	Monocots	Viridiplantae	Holocentric	Present	2	low_copy
lpSciSylv1.hap1.1	Scirpus	sylvaticus	Monocots	Viridiplantae	Holocentric		1	single_copy
lpSpaEmer1.hap1.1	Sparganium	emersum	Monocots	Viridiplantae	Transposon		2	low_copy
lpTriCesp1.1	Trichophorum	cespitosum	Monocots	Viridiplantae	Unknown	Present	1	single_copy
laTriMari1.1	Triglochin	maritima	Monocots	Viridiplantae	Satellite/transposon	Present	2	low_copy
rosCan					?	?	5	expanded
icMelMelo1_chunk1					?	?	2	low_copy
daTanVulg1_GCA_964264315					?	?	2	low_copy
rosCan_S27_v1					Satellite/transposon	Present	2	low_copy
lsIriFoet1_GCA_964204905					?	?	1	single_copy
mCerEla1_chunk1					?	?	1	single_copy
mDicBic1_chunk2					?	?	1	single_copy
mDicBic1_chunk_2					?	?	1	single_copy
mEleMax1_chunk3					?	?	1	single_copy
mMelMel3_chunk3					?	?	1	single_copy
mOrcOrc1_chunk2					?	?	1	single_copy
