Species	Species.1	symbol	size	colour	border	width	architecture
wpSthLimi1.1	wpSthLimi1.1	circle	2	#3a86ff	yes	1	Transposon
wpAliVire1.1	wpAliVire1.1	circle	2	#ff006e	yes	1	Satellite
xbGarTell2.1	xbGarTell2.1	circle	2	#ff006e	yes	1	Satellite
xbTriGiga4.1	xbTriGiga4.1	rectangle	2	#808080	yes	1	Unknown
xbTriCroc3.1	xbTriCroc3.1	rectangle	2	#808080	yes	1	Unknown
xbLimFort5.1	xbLimFort5.1	circle	2	#ff006e	yes	1	Satellite
xgBioGlab47.1	xgBioGlab47.1	circle	2	#3a86ff	yes	1	Transposon
xgPatPell1.1	xgPatPell1.1	circle	2	#3a86ff	yes	1	Transposon
xgPatVulg1.1	xgPatVulg1.1	circle	2	#3a86ff	yes	1	Transposon
xgGibMagu1.1	xgGibMagu1.1	circle	2	#ff006e	yes	1	Satellite
xgPhoLine1.1	xgPhoLine1.1	circle	2	#3a86ff	yes	1	Transposon
xgSteCine2.1	xgSteCine2.1	circle	2	#3a86ff	yes	1	Transposon
ocSycCili1.1	ocSycCili1.1	circle	2	#ff006e	yes	1	Satellite
jrHalOcto1.1	jrHalOcto1.1	circle	2	#ff006e	yes	1	Satellite
jaRicFlor1.1	jaRicFlor1.1	circle	2	#ff006e	yes	1	Satellite
jaDiaLine6.1	jaDiaLine6.1	circle	2	#ff006e	yes	1	Satellite
jaNemVect1.1	jaNemVect1.1	circle	2	#ff006e	yes	1	Satellite
eaMarGlac1.2	eaMarGlac1.2	circle	2	#ff006e	yes	1	Satellite
kaAplTurb1.1	kaAplTurb1.1	circle	2	#ff006e	yes	1	Satellite
fAciRut3.2	fAciRut3.2	circle	2	#8338ec	yes	1	Satellite/transposon
fAloSap1.1	fAloSap1.1	circle	2	#ff006e	yes	1	Satellite
fPanHyp1.1	fPanHyp1.1	rectangle	2	#808080	yes	1	Monocentric sequence unknown
fBarBab1.1	fBarBab1.1	circle	2	#ff006e	yes	1	Satellite
fDanRer4.1	fDanRer4.1	circle	2	#ff006e	yes	1	Satellite
fTelBon1.1	fTelBon1.1	rectangle	2	#808080	yes	1	Unknown
fTraTra1.2	fTraTra1.2	circle	2	#ff006e	yes	1	Satellite
