group	A	lambda_	C_empirical	halflife_My	n_node_avg
Vertebrates	77.005780184989	0.07277799822150118	28.70459259654126	9.524130884313953	23
Invertebrates	34.21881810080534	0.03400220579088295	31.13651798988836	20.385359256480932	84
Viridiplantae	88.93402565823682	0.11290448102275974	31.836694531092284	6.139235345497207	50
